	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
236|237|238|239|240|241|242|243|244|245|246|247|248|249|250|251|252|253|254|255	qui li fu fete. |A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, |si le font desarmer, |ou il volsist ou non, |et il le fist a envis, |kar il n’estoit encore mie tens de herbergier. |Ensi remist Boors laiens, |si li firent grant joie li un et li autre |Et quant il orent mengié. |a damoisele demande a Boort |comment il avoit non ét |¡l dist |qu’il avoit non Boors li Essilliés. « |Et vos, |fet il. damoisele, |quels est li vostre nons ? — |Sire, |fet ele. |je ai non Blevine de Glocedun, |issi a non cist chastials ou nos somes. » 	façiendo con boores |asi que el se marauillaua ende mucho |e las|Mesas fueron puestas |e asentaronse a comer |ca mucho lo auian menester |e desque ovieron comido la donçella le pregunto |e dixo le |señor si vos pluguiere querria saber vuestro nombre |porque sepa dezir |quien me fiço tanto bien |donçella dixo boores |yo he nombre boores el deseredado |e vos donzella dixo el |como auedes nombre |señor dixo la donçella |yo he nombre velniña de glaçendo |que asi a nombre el castillo |enque estamos 	qui luy fu faicte |A telle ioye et a tel feste emmainent boort iucquez au maistre palais du chastel |si le font desarmer |uoulsist il ou non. |et il le fist a peine. |car il nestoit pas encor temps de herbreger. |Ainsi demeure boort leans. |si luy firent moult grand ioye les ungs et les autres |Et quant il eurent mange la damoisele |luy demande |comment il auoit nom. |et il luy dist |que il auoit nom boort lessille |Et uous fait il damoisele |quel est uostre nom. |Sire fait elle iay nom blocedin. |Ainsi a nom ce chasteau ou nous somes. 	qui li fu faite. |A tel ioie et a tal faite en mainnent beh̾. ducau palais dou chastel. |Si le font desarmer uossist ou non. |et il le fait mout enuiz. |Car il nestoit mie eure ne tans de herbregier. |ensi remest laiens |si li firont grant ioie et li un et li autre. |Et quant il orrent mengie: |la damoisele demande |comment il auoit non. |etil li dit. |et uos comment fait il damoisele |Sire fait ele iai non uenyne de glocedras |ainsis a non li chastias ou nos somes 	qui leur fut faicte.|A telle ioye menerent boort au pallais. |Et quant ilz eurent mengie la damoiselle lui demanda |comment il auoit nom. |Et il respendist |quil auoit nom boort le essillie |et si estoit cousin germain de lancelot du lac. |Et uous dame |quel est uostre nom. |Sire fait elle iay nom benigne de glacedon. |et ce chasteau cy |ou nous sommes a aussi nom glacedon. 	qui li fu faite EN tele ioie et en tele feste |com vous oliles enmenerent bohort en vne moult bele sale. |et les tables furent mises |si alerent mangier. |Et quant il orent mangie. |La damoisele demanda bohort |comment il auoit non. |Et il li dist |quil auoit non bohors li escillies. |Et vous dame fait il |comment est vostres nons. |Sire fait elle iou ai a non benigne de Glochedon. |Et ensi a a non chis chastiaus. 	che gli fu fatta. |In tal gioia e in tale festa ne menarono Boordo |insin qua il mastro palagio del castello, |si l fanno disarmare o volesse O non, |ed elli il fece ad invidia, |ché nonn-era mica ancor tempo d’albergare. |Insi rimase Boordo là entro, |si gli feciono molto gran gioia |e l’uno e l’altro. |eE quand’egli ebono mangiato a gran festa, |la damigella domandò Boordo |com'egli avea nome, |ed e' le risponde |ch’egli à nome Boordo il Diseritato. |E vo', diss’elli alla damigella, |com’è vostro nome? — |Sire, |diss’ella, |i' ò nome Blivina di Glocedin, |e nsì à nome questo castello |ove noi siamo». 
256|257|258|259	A ces paroles |qu’il disoient, |es vos I escuier |qui laiens entre, 	Ellos ansi fablando |llego vn escudero porla puerta 	A ces paroles |quilz disoient uoyez uous ung escuier |qui entre leans. 	A ses paroles |que il dissoient euousa. escuer |qui laiens entre. 	ces parolles |quilz disoient uecy ung escuyer |qui entra leans 	A ches paroles |quil disoient es vous vn escuier |qui laiens entra. 	A queste parole |ch’elli dicieno, |ed e' vidono venire uno scudieri |che là entro venia, 
260|261	si s’agenoille devant la damoisele. « |Dame, 	e finco los ynojos ante la donçella 		et sa genoille deuant la damoisele. 	si se agenoille de uant la damoiselle dame 	si sagenoille deuant la damoisele 	si s’aginocchia davanti la damigella: |«Dama, 
262|263	fet il, |la damoisele de Honguefort vostre cosine vos salue 	e dixole |señora la donçella de hongeforte |vos ymbia a saludar	et sagenoille deuant la damoisele. dame fait il madame la damoisele de hunguefort uoustre cousine uous salue et uous mande 	Dame fait il madarne la damoisele De honguefort uostre cousine uous salue. 	fait il madame de honguesfort uous sallue 	et l dist. |Dame : |la dame de hongrefort vous salue. 	diss elli, |mia dama la damigella di Unguelforte, vostra cugina, 
264|265|266|267|268	et vos mande |qu’ele vient herbergier o vos. » |Et quant cele l’entent, |si saut sus si liee et si joiose |que nule plus 	e ymbiavos deçir |que esta noche ven conbusco albergar |e quando la donçella esto oyo fue muy alegre 	quelle uient et herbregera o uous |et quant elle lentend si sault sus si liee et si ioyeuse |qui plus ne puet. 	Et uous mande |que ele uient herbregrer o uus |Et quant cele lentant si saut sus si lie et si ioeuse |com ele puet plus. 	et uous mande |que elle se ueult ennuyt logier auec uous.|Et quant celle lost 	et vous mande |que elle veult anuit herbergier o vous. |Et quant cele lentent si saut sus. si ioieuse |et si lie que nulle plus. 	vo saluta e vo manda |ch’ella viene ad albergare con esso voi». |E quando quella lo ntende, |si salta suso si lieta e si gioliolsa |che nulla più, 
269|270|271|272|273	et demande al vaslet |ou ele est. « |Dame. |fet il, |a mains de demie lieue pres de ci. » 	e pregunto al escudero do era señora |dixo el escudero |yo la dexe a media legua de aqui 	et demande au uarlet |ou elle est. |Dame fait il elle est a demye lieue pres de cy 	et demande au uarlet |ou ele est. |Dame fait il a mains de demi lieu pres de ci. 	si demande a lescuyer |ou elle est dame |fait il a demye lieue de cy/ 	Si demande a lescuier |ou elle est. |Dame ce dist cil a demie lieue pres de chi. 	e domanda al valletto |ov'ella est. |«Dama, |diss’elli, |ella est a meza lega presso di qui». 
274|275|276|277|278	Et ele fet maintenant sa sele metre |et dist |qu’ele ira encontre li; |si monte et maine o li. VI. chevaliers |et Illl. en laisse por fere compaignie a Boort ; 	e la donçella mando luego ensillar |e fuese con seis caualleros ala rreçebir |e dexo a boores con quatro caualleros |porle fazer conpaña 	et elle fait adonc mectre la sele |a dist quelli yra encontre luy. |Si monte et mainne o lie .u. cheualiers |pour faire compaignie a boort. |et en laisse quatre. 	et ele fait maintenant sa sele mestre. |et dit |que ele ira encomtre. |Si monte et mainna .ui cheualiers auecques li. et .iiii. en laisse por faire compangnie a behͦ. 	et elle mente sur son cheual auec quatre cheualiers et quatre escuyers |pour aller a lencontre de la dame |et si laisse quatre cheualiers auec boort 	Lors fait maintenant sa sele mettre |et dist |que elle yra encontre li. |Si monte maintenant et vi. cheualier aueques li. et. iiij. escuiers. |Et si laisse auec bohort. iiij. cheualiers |por lui faire compaignie 	Ed ella fa immantanente sua sella mettere |e disse |ch’ella andrà incontro a llei, |si monta e mena con lei v. cavalieri, |e quatro cavalieri d’agio |lascia in compagnia di Boordo, 
279|280|281|282|283|284|285|286|287|288|289	si se part atant de laiens. |Mes Boors |qui les noveles a of̈es de cele de Honguefort |si ne set que fere, |kar se il remaint laiens, |ne puet estre |que l’en nel conoisse |et ce ne voldroit il por rien: |si pense longuement a ceste chose. |Quant il ot une piece pensé, |si se drece en estant 	e quando boores sopo |quela donçella de ongeforte venia |no sabia que façer |ca no queria aquelo conoçiese |si pudiese ser |e penso asi enesto mucho 	si se part adonc de leans. |mais boort qui a ouy les nouueles de celle dunguefort ne seut que faire. |car sil remaint leans |il ne puet estre |quelle ne le cognoisse |et ce ne uoudroit elme pour nul rien. |si pense longuement a ceste chose. |Quant il a grant piece sis en paix |si se die ce en estant 	si se part de laiens. entre li et sec cheualiers . |Mais beh̾. |qui les noueles ot oiez de cele de honguefort ne set que |faire.Car cil remaint laiens |il ne puet estre |que len ne le quenoisse. |et si ne uodroit ce por rien. |Si se pance longuement ace. |et se dresce en estant a ce 	pour luy faire compagnie mes boort |qui les nouuelles a entendues de la dane de honguesfort ne scait que faire |si pense longuement |car il ne ueult pas estre congneu |et quant il a longuement pen |se si se lieuue en son estant 	et puis sen ist de laiens. |Et bohors |qui lez noueles ot entendues de la dame de hongrefort, |ne set que faire quar bien set |que elle le connistra. |Et chou ne voldroit il pas. |si pense a cheste chose moult longement. |Et quant il ot pense |si se lieue en son estant 	si si parte atanto di là entro. |Ma Boordo, che lle novelle àe avute di quella d’Unguelforte, |non sa che fare, |ché se rimane là entro |e' non può essere |ch’ella non lo cognosca: |ciò non vorebbe elli per nulla cosa, |si pensa lungamente a questa cosa. |eQuand’egli à gran peza pensato, |si si diriza in istanti 
290	et demande ses armes tost et isnel. « 	e a cabo de Pieça demando sus armas 	et demande ses armes tost et isnel 	et demande ses armes. tost et inel. 	et demande ses armes. 	si demande sez armes. 	e domanda sue armi tosto e snello. 
291	Sire, font cil 	señor dixeron los caualleros 	Sire font ceulx 	Sire font cil 	Sire sont ceulx 	Sire font cil 	VaSire, dissono coloro 
292|293|294|295|296	qui avec lui estoient, |qu’en volés vos fere ? — |Je me vueil. |fet il, |un poi aler esbatre jusqu’a cel boschel, 	que conel estauan|que para que las queria |yo me Quiero armar |dixo boores |Porme yr a solazar a aquel montezillo 	qui auec luy estoient. |que uoulez uous faire. |Ie me uueil fait il ung |pou aller esbatre iucqua ce boys 	qui auec lui estoient |quen uoles uos faire. |Ie men ueil fait il aler |.i pou esbare iusqua cele forest. 	qui auec luy estoient pour quoy les demandes uous ie me uueil |fait il armer |pour moy aller esbatre iusques en ce bochel 	qui aueques lui estoient |pourcoi vous voles vous armer. |Iou me voel fait il aler esbatre iusken cel bosket. 	che con esso lui erano, |che volete voi fare? — |l' mi voglio, |diss’elli, |andare a sbattere un poco in quello boschetto, 
297	si revendrai orendroit. » 	e luego me tornare 	si reuiendray tantost. 	et reuandrai orendroit et cil 	mes ie reuendray tantost/ 	si reuendrai maintenant. 	si ritornerò oraindiritto». 
298|299|300|301|302|303	Cil n’osent son commandement refuser. |si aportent ses armes |et il les prent. |Et quant il est armés, |si monte en son cheval a, |si se part de laiens par une posterne par devers le boschel », 	e ellos no osaron su voluntad contradeçir |e truxeronselas |e el se armo |e desque fue armado salio porvn postigo |que estaua contrael monteçillo 	ceulx nousent refusrr son commandement. |et apportent ses armes. |et il les prent. |Et quant il est arme si monte a cheual. |et se part de leans par la pousterne deuers le chastel 	qui nosent son commandement escondire |Li aportent |et il les prant. |et quant il est armes |si se part de laiens par la poterne par deuers .i. bochet 	et ceulx nosent reffuser son commandement |lors luy apportent ses armes |et quant il fust arme |si sen part de le ans par la posterne uers ung petit bosc 	Et cil nosent son commandement refuser. |Si li aportent sez armes. |Et il sen arme. |puis monte sor son cheua |et se part de laiens 	E que' non osano suo comandamento rifiutare, |sì gli portano sue armi |ed e' le prende; |e quand’egli è armato, |e' monta in suo cavallo, |si si parte di là entro per la postierna diverso il boschello, 
304|305	ne ne velt |que nus li face compaignie. 	e no quiso que fuese conel ninguno 	ne ne ueult |que nul luy face compaignie. 	si ne uoet |que nus li face 	et ne ueult |que nul luy face compagnie. 	et ne veult |que nus li face compaignie 	né non vuole |che nullo gli faccia compagnia. 
306	Et quant il est l. poi eslongiés del chastel, 	e desque fue vn poco alongado 	Et quant il est ung pou esloigne du chastel 	compongnie.et quant il est i po eslongniez dou chastel 	Et quant il est ung pou eslongnie 	Et quant il est vn petit eslongies 	quand’egli è un poco islungato del castello, 
307|308	si torne a destre vers une forest |qu’il voit haute et espesse 	Metiose porvna floresta |que vido muy espesa 	si torne a destre partie uers une fourest |quil uoit haute et espesse. 	si torne a destre par deuers une forest haute et espesce 	il tourne uers une forest grande et espesse 	si sen torne vers vne haute forest. |quil vit haute et espesse 	si torna a destra partita per diverso una foresta |ch’elli vide alta e spessa, 
309|310|311|312	et s’en vet al ferir des esperons; |si se fiert en la forest |et eirre |tant qu’il li anuite ; 	quanto el cauallo lo pudo lleuar |e el ansi yendo 	si sen ua au ferir des esperons |et se fiert en la fourest. |et erra tant qͥl anuyta. 	et sen ua au ferir des esperons. |Si se fiert en la forest |et erre tantquil li anuitie. 	si fiert des esperons |et sen entra dedens et cheuaucha |tant que la nuyt uint. 	et sen vait au ferir des esperons |et se fiert en la forest |tant quil si anuite. 	si vi si mette al fedire delli sproni |e si fiede nello spesso della foresta |e va tanto ch’elli anottò. 
313|314	et lors escote, |si ot une cloche soner 	oyo vna canpana tañer 	Et lors escoute |si ouy sonner une cloche 	et lors escoute |si oit une cloche soner 	Il ouyt une cloche sonner 	Lors oy vne cloche sonner. 	AIlora ascolta, |sì ode una campana sonare 
315|316	et il sot bien tantost |que c’estoit hermitages: 	e luego cuido quela tañian en alguna hermita 	si sceit bien tantost que cest hermitage. 	et il seit bien |que cest hermitages 	si pense tantost |que cest ung hermitage. 	et sot bien tantost |que ce estoit vns hermitages. 	ed e'sa ben tantosto |che ciò è romitaggio: 
317	si s’en torne cele part 	e el fue alla 	si se tourne celle part 	si se torne cele part 	il sen alla celle part 	si torne cele part. 	si ritorna in quelle parti 
318|319|320	et descent a l’uis, |si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere 	e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir |e acogiolo |porque vido que hera cauallero andante 	et descent a luys si apelle. |et lermite luy euure |et le recoit a belle chiere. 	et descent a luis et apele. |et li ermites li ouure |et le resoit a mout bele chiere. 	et puys frappa a luys/ |et lermite le rechoit a belle chere 	et descent a luis et apele. |Et hermites le rechoit a bele chiere. 	e discende a l’uscio, |si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera 
321	et le desarme il meismes, 	e el mesmo lo ayudo a desarmar 	Ainsi est demoure 	et le desarme il meismes 	et le desarma 	et le desarme il meismes. 	e l disarmò elli medesimo; 
322	puis vet cueillir de l’erbe al cheval 	e desque lo ovo desarmado 	Comme boot demoura chex lermite. 	et puis ua cuillir de lerbe |il meismes por le cheual. 	et puys cueillit de lerbe uerte pour le cheual 	et puis vait coillir de lerbe pour le cheual 	poscia va a cogliere dell’erba al cavallo lel 
323|324|325|326|327|328|329	et por fere lit al chevalier. |Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha |tant a qu’ele encontra cele de Honguefort; |si s’entresaluent, |mais molt se merveille cele de Glocedun, |quant ele voit sa cosine si atornee et tote sa maisnie: 	cogio dela yerua Parael cauallo |Ansi finco enla hermita |e la donçella de glaçedon andubo tanto |fastaque encontro ala señora de ongeforte |e ellas se saluaron |e la donzella De glazedon se marauillo mucho |quando vido asi venir asu parienta |e a todas su conpaña 	che tant quelle fu partie de son chastel |et quelle encontra celle boort chex lermite et la damoisele de glossedin cheuaude hunguefort. si sentresaluent. |mais celle de glossedin se merueille moult |quant elle uoit sa cousine si atournee et toute sa mesgniee. 	et por faire lit au cheualier |Ainsi est boh̾ retrais chies lermite. |et la damoisele de glocdon cheuauche |quant ele fu partie de son chastel |tant que ele encontre la damoiselle de honguefort |si sentre saluent. |mais mout ce merueille la damoisele de glocedun |quant ele voit sa cosine si atornee. |et tote sa mainiee ausi. 	et fist le lyt au cheualier. |Insi est boort demoure auec lermite et la damoiselle de glacedon |a tant alle quelle encentra celle de honguesfort/ si sentresalluerent. |Et quant celle de glacedon uoit sa cousine et toute sa mesgnie ainsi atournee 	et fait le lit au cheualier, |Nsi est remes bohoors chies le prodomme. |Et la damoisele de Glochedon tcheualche |tant que elle encontre cele de hongrefort. |si sentrefont moult grant ioie. |Si sesmerueille moult cele de glochedon. |quant elle voit sa cousine ensi atornee et toute sa maisnie. 	per fare el letto del cavaliere. |ilnsi rimase Boordo a casa il romito, |e la damigella di Locidin cavalca tanto |ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte. |Si si trasalutano, |ma molto si maraviglia quella di Glocedin |quand’ella vide sua cugina |si aconcia e tutta sua masnada, 
					elle sen merueille monlt 		
330	si li demande l’acheison 	e preguntaronle la Razon 	si luy en demande lachoison. 	Si li a demande lacoison. 	sy lui demande lachoison 	Si li demande locoison. 	si non si può tenere |ch’ella non la domandi la cagione. 
331	et cele li conte de chief en chief 	porque hera aquello asi 	et elle luy comta de chief en chief. 	et cele len conte la uerite de chief en chief 	et celle luy compte toute la uerite 	Et elle li conte lauenture de chief en chief 	E quella le conta di capo in capo 
332	et dist 	e la donzella de ongeforte selo conto todo de cabo a cabo 	et dist 	et dit 	et dist 	Et dist 	e dice 
333|334|335|336|337|338|339|340	que jamés ne finera d’errer |jusqu’el ait le chevalier trové, « |et bien sachiés, |fet ele, |bele cosine, |que c’est li plus bials chevaliers et li mieldres |que je onques mes veisse, |et si est encore jovenes enfés; 	Como le contesçio conel cauallero |e mi buena parienta bien|sabed que el es el mas fermoso cauallero |que nunca vi |e nunca quedare de andar |asi fasta quelo falle 	que iamais ne finera derrer iucqua |tant quelle ait trouue le cheualier. |et bien sachez fait elle belle cousme |que cest le plus bel cheualier et le meilleur |que ie ueisse oncquez mais. |et si est encores ienne enfant. 	que iamais ne finera derrer |tant que ele ait le cheualier troue. |et bien sachiez bele cosine |que cest li muxdres cheualiers et li plus biax dou monde. |et si est encore iones enfes. 	que iamaiz ne finera de errer iusques |a tant quelle aura trouue le cheualier/ |et sachiez belle cousine |que cest le plus beau et le meilleur |que ie ueisse on ques et sy est encore ione enfant/ 	que iamais ne finera desrer. |deuant que elle aura troue le cheualier. |Car cest li plus biaus et li mieudres |que iou onques veisse. |et si est iouenes enfes 	che giamai non finirà d’andare infino a tanto |ch’ella abbia il cavaliere trovato, |e ben sapiate, bella cugina, |che ciò è il più bel cavaliere |e l miglior |ch’io unque vedessi, |si è ancora giovane infante; 
341|342	si ai tel duel, |quant il me membre de la vilenie 	ca sabed que el es el mejor cauallero Del mundo |e mas cortes |e es muy niño |e quando me mienbro dela descortesia e dela villania 	si ay tel deul |quant il me menbre de la uilenie 	Si ai tel duel |quant ie mamenbre de la uilenie 	si ay tel deul |quant il me souuient de la uillanie 	Si ai tel doel |quant il me membre de la vilonnie 	sì ò tal duolo qualunche ora mi ricordo della villania 
343|344	que je fis, |qu’a poi que li cuers ne me part el ventre. — 	que contrael fiz el corazon seme quiere quebrar enel cuerpo 	que ie luy feis qua pou que le cuer ne me part ou uentre 	que ie li fis: |ca pou Li cuers ne me part. 	que ie luy feiz |que a pou que le cueur ne me part du uentre. 	que iou li fis |que a poi que li cuers ne me part del uentre. 	ch’io gli feci, |ch’a poco che l cuore non mi si sface nel ventre. — 
345|346|347	En non Dieu, bele cosine, |fet cele de Glocedun, |s’il vos avint bele aventure, 	Pardios mi buena parienta |dixo la dueña |de glozendo mucho vos a acasesçido buena ventura 	Certes belle cousine fait celle de glocedin. |sil uous aduint belle auanture 	En non dieu bele cosine fait cele de glocedun. |Si uos auint bele auanture: 	Eu nom dieu belle cousine fait celle de glacedon/ |sy uous est aduenu belle auanture/ 	Enon dieu bele cousine fait cele de glochedon |sil vous est auenue bele auenture 	A nome di Dio, bella cugina, |s’elli voi avenne bella aventura, 
348	il ne m’est pas hui avenue mains bele. » 	e ami non a venido menor 	il ne mest pas huy aduenue belle. 	il ne mest pas hui auenue mains bele. 	il ne men est pas aduenue une moins belle. 	elle ne mest mie auenue mains bele. 	e' non m’è oggi passo avenuta men bellab. 
349	Si li conte tot ensi com il li estoit avenu 	e luego le conto |como auia acaesçido conel Cauallero 	Si luy compte |tout ainsi comme il luy est aduenu. 	Si li conte coument |il li est auenu. 	Sy luy compte tout ainsi |comment il luy estoit aduenu/ 	Si li conte |comment il li estoit auenu. 	i-lle contò tutto insi come l’era avenuto 
350|351	et dist |qu’ele a le chevalier herbergié; « 	que conella albergara 	et dist |quelle a herbrege le cheualier. 	et dit |que ele a le cheualier herbregre. 	et dist |quelle auoit herbegie le cheualier/ 	Et li dist |que elle auoit le cheualier herbergie 	e disse |ch’ella ha albergato il cavaliere, 
352|353|354	mais bien sachiés, |fet ele, |que c’est li plus bials chevaliers 	mas bien sabed |que es el mas fermoso cauallero 	Mais bien sachez fait elle |que cest le plus bel cheualier 	et bien sachiez |que cest li plus biax cheualiers 	et uous dys bien |que cest le plus beau cheualier du monde/ 	mais bien sachies |que cest li plus biaus cheualiers del monde. 	«ma ben sapiate |ch’egli è el più bel giovane 
355|356	que je onques mes veisse et jovenes durement » ; |si li devise sa façon et son grant et sa mesure 	Que Nunca vi e es muy mançebo |e luego le conto las façiones 	que ie ueisse oncque mais et fort ienne. |si luy deuise sa facon sa grandeͬ et sa mesure 	que ie onques ueisse. |et iosnes durement. |Si li deuisse sa fason et son grant et sa mesure. 	sy lui deuise sa facon 	et iouenes est il durement. |Si li deuise sa fachon et son grant. 	ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo duramente». |Si-lle divisa sua fazione |e suo grande e sua misura 
357	tant qu’a cele de Honguefort est avis 	del tanto quela dueña de ongeforte entendio 	tant quil est aduis a celle de hunguefort 	Tant que a cele de honguefort est auis 	tant quil est aduiz a celle de honguesfort 	Tant que a celer de hongrefort samble 	tanto che a quella d’Unquelforte est aviso 
358|359|360|361	que c’est cil |qu’ele quiert, |si li tarde molt |qu’ele le voie. 	que hera el cauallero |que ella andaua buscando |e mucho sele tardaua delo ver 	qui cest cil quelle quiert. |si luy tarde moult |quelle ne le uoit. 	que ce est cil |que ele quiert. |si li tarde mout |quele le uoie. 	que cest celuy |quelle quiert/ si luy tarde quelle le uoie |En telle magniere cheuauchent 	que che soit cils |que elle quiert. |Si li est moult tart que elle le voie. 	che ciò è quelli |ch’ella chiede, |si'lle tarda molto |ch’ella il vega. 
362	Ensi chevalchent jusqu’al chastel, 	asi fueron ental manera fablando |Que llegaron al castillo 	Ainsi cheuauchent tant quilz sont uenuz au chastel. 	ainsi cheuauchent |tant que au chastel sont uenues. 	tant quilz sont uenues au chastel 	Si cheuauchent 	Insi cavalcano tanto |ch’al castello sono venuti, 
363|364	si descendent la damoisele molt honorement |et molt font grant joie de li 	e rresçibieron todos |ala donçella de ongeforte muy honrradamente |e fizieron gran gozo conella 	si descendent la damoisele moult honnoureement |et moult font grant ioye de luy 	Si dessandent la damoisele de honguesfort mout honorablement. |et mout font grant ioie de li. 	si decendent la damoiselle monlt hounourablement |et font grant ioye de celle de honguesford. 	tant que elles sont uenues au castel 	si discendono la damigella molto honoratamente |e molto fanno grande gioia di lei. 
365	Et lors sont montees el palés; 	e la donçella del castillo 	Et lors sont montez ou palays. 	et lors sont montees el palais amont.	lors sont mentees au pallaiz 	et puis montent el palais. 	Allor sono montate nel palagio, 
366	si demande cele de laiens ou ses ostes est. « 	pregunto luego porsu huesped 	si demande celle de leans |ou est son hoste. 	Si demande cele de laiens ou ses ostes est. 	si demande la damoiselle de leans |ou est son hoste/ 	Si denande la damoisele de laiens ou sez ostes estoit. 	si domanda quella di Glocedin |ove suo oste est: 
367|368	Par foi, |font si chevalier, 	Por buena fee dixeron los caualleros |que auian fincado 	par foy font ces cheualiers 	par foi font cil cheualier il 	deuray dirent les cheualiers de leans 	Par foy dame font li cheualier de laiens 	Per fé, dissono suo' cavalieri, 
369	¡l s’en vet orrendroit tos armés fors de cest chastel, 	conel tomo sus armas |e fuese a deportar a aquel montezillo 	il sen uait orendroit tout arme hors de ce chastel. 	sen ua maintenant tous armes fors de cest chastel. 	Il sen ua orendroit tout seul arme hors de ce chastel 	il sen va orendroit tous armes hors de chest chastel. 	e' se ne va oraindiritto tutto armato fuori di questo castello, 
370	mais il nos dist 	mas luego dixo 	mais il nous a dit 	mais il nous dit 	mes il nous dist 	mais il nous dist 	ma e' no disse 
371|372	qu’il revendroit tantost; |n’onques por nul pooir ne volt soffrir 	que se vernia |Mas nunca por alguna manera |Podimos 	quil renuiendra tantost. 	que il reuanroit tantost. |ne onques por nul pooir ne uost souffrir 	quil reuendroit tantost/ ne onques ne uolt souffrir 	quil reuendroit tantost. |ne onques pour nul pooir ne volt soffrir 	che ritornerebbe tantosto, |né unque per preghieri non volle soferire 
373|374|375|376|377|378|379|380|381|382	que nus de nos alast avec lui. — |Quel part s’en ala il ? |fet ele. — |Dame, |font il, vers cel boschel. — |Or tost, |fet ele, |montés, alés aprés lui, |si le nos ramenés. » |Lors sont monté li X. chevalier 	que nos sufriese que fuesemos conel a qual parte fue |dixo la donçella del castillo |aquel montezillo dixeron ellos |e luego mando alos diez caualleros |quelo fuesen alla a buscar |e ellos lo fiçieron ansi 	Quelle part est il alle fait la dame. |Dame font ilz uers ce boys. |Or montez tost fait elle allez apres et le ramenez |Lors sont montez tous les dix cheualiers 	que nus alast auec lui. |que part sen ua il fait ele |Dame font il uers cest bochet. |Or tost montes illec apres |si le nous ramenez. |Loes sont monte .x. cheualier. 	que nul allast auec luy |si a prins sen chemin uers ce bochel. |Or tost dyt la dame montes |sy alles apprez luy |et le ramenes arriere. |Lors montent tous les cheualiers 	que nus alast aueques lui. |Et quel part ala il fait elle. |Dame font il vers chest bosket. |Or tost fait elle montes |si ales apres lui |si le me amenes arriere. |LOrs sont monte tout li cheualier 	che nullo di noi andasse con esso lui. |—elln quale parte se ne va?, |diss’ella. — |Dama, dicono elli, |inverso quello bosco. — |Or tosto, diss’ella, |montate e andate apresso lui, |si l noi rimenate» ll |Allora sono montati tutti e dieci i cavalieri 
383|384	et vienent jusqu’al boschel, |si le cerchent amont et aval, 	ca anduuieron todo el mon-teçillo arriba e ayuso 	et uiennent au boys |si le sercherent amont et aual 	et uiennent iuscau bochet |si le serchent amont et aual. 	et uiennent iusques au bochel 	et sont uenu au boskel |et cerkent amont aual |mais le cheualier 	e vengono Sin qua quel bosco, |si 'l cercano a monte e a valle, 
385|386|387|388|389|390|391|392	mes del chevalier ne pueent riens trover, |si en sont molt irié et dolent |et mandent a lor dame |qu’il ne le pueent trover. « |En non Dieu, |fet ele, |ensi ne remandra il pas. » |Si monte et tote sa maisnie 	Mas nunca lo pudieron fallar |e tornaron e contaronselo ansi asu señora |Pordios dixo la donçella |ni poresto no fincara |e luego Caualgo con toda su conpaña |e fuese Al montezillo 	mais le cheualier ne peuent ilz pas trouuer |si le mandent a leur dame |quilz ne le peuent trouuer |En nom dieu fait elle anisi ne demeurra il pas. |si monte elle et toute sa mesgniee 	mais del cheualier ne pueent point trouer. |En non dieu fait ele ainsi ne remandra il pas. |si mente ele |et coure sa mainie 	et le chercent ament et aual/ |mais ne le peuent trouuer/ |Eu nen dieu fait elle |il ne demoura pas ainsy si monte elle et sa mesgnie 	quil quierent ne poent trouuer. |Lors reuienent a lor dame |et li dient |que il ne seuent |quil est deuenus. |Enon dieu fait elle |ensi ne remandra il mie |Si monte et toute sa maisnie aueques li. 	ma del cavaliere non possono elli unque trovare. |eSi ne sono molto adirati e molto crucciati, |e mandano a-llor dama |che nol possono trovare. |“h«A nome di Dio, |diss’ella, |insì non rimarrà e' passo». |Si monta ella e tutta sua masnada, si vi viene 
393|394	et commande a cerchier le bois de totes pars |et il en font son commandement. 	e fizolo çercar de todas partes 	et commande a sercher le boys de toutes pars |et ilz font son commandement. 	et comande a cenhier le bois de toutes pars. |Et il font son commandement. 	et commencent a chercer le bochel de toutes pars |et prie aulx cheualiers |quilz le chersacent 	si com menchent a cerkier le bois de toutes pars 	e comanda a cercare il bosco di tutte parti. |sEd e fanno suo comandamento, 
395|396	Mais tot ce ne lor valt riens, |kar il n'em puent avoir nul asenement a, 	mas nunca lo pudieron fallar 	mais tout ce ne leur uault riens |car ilz nen peuent ouyr nul assignement du monde. 	Mais tout ce ne lor uaut rien. |Car il ne pueent trouer nul a lanement dou monde 	mes ce ne leur ualust riens/ |car ilz nen porent ouyt nulle uraie enseigne. 	mais che ne lor valut riens |Car il nen pueent oir nulles enseignes vraies. 	ma tutto ciò no lle vale nulla, |ch’elli non ne possono ora avere nullo asennamento del mondo. 
