	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
314|315|316|317|318	Et quant il est armés, |si monte en son cheval a, |si se part de laiens par une posterne par devers le boschel », |ne ne velt |que nus li face compaignie. 	e el se armo 	Et quant il est arme si monte a cheual. |et se part de leans par la pousterne deuers le chastel ne ne ueult |que nul luy face compaignie. 	et quant il est armes |si se part de laiens par la poterne par deuers .i. bochet |si ne uoet |que nus li face 	et quant il fust arme |si sen part de le ans par la posterne uers ung petit bosc |et ne ueult |que nul luy face compagnie. 	Et il sen arme. |puis monte sor son cheua |et se part de laiens |et ne veult |que nus li face compaignie 	e quand’egli è armato, |e' monta in suo cavallo, |si si parte di là entro per la |postierna diverso il boschello, |né non vuole che nullo gli faccia compagnia. 
319	Et quant il est l. poi eslongiés del chastel, 	e desque fue armado salio porvn postigo 	Et quant il est ung pou esloigne du chastel 	compongnie.et quant il est i po eslongniez dou chastel 	Et quant il est ung pou eslongnie 	Et quant il est vn petit eslongies 	quand’egli è un poco islungato del castello, 
320|321	si torne a destre vers une forest |qu’il voit haute et espesse 	que estaua contrael monteçillo 	si torne a destre partie uers une fourest |quil uoit haute et espesse. 	si torne a destre par deuers une forest haute et espesce et sen ua au ferir des esperons. 	il tourne uers une forest grande et espesse 	si sen torne vers vne haute forest. |quil vit haute et espesse 	si torna a destra partita |per diverso una foresta |ch’elli vide alta e spessa, 
322|323	et s’en vet al ferir des esperons; |si se fiert en la forest et eirre 	e no quiso que fuese conel ninguno 	si sen ua au ferir des esperons |et se fiert en la fourest. 	Si se fiert en la forest 	si fiert des esperons |et sen entra dedens |et cheuaucha 	et sen vait au ferir des esperons |et se fiert en la forest 	si vi si mette al fedire delli sproni |e si fiede nello spesso della foresta 
324|325|326|327	tant qu’il li anuite ; |et lors escote, |si ot une cloche soner |et il sot bien tantost 	e desque fue vn poco alongado |Metiose porvna floresta 	et erra tant qͥl anuyta. |Et lors escoute |si ouy sonner une cloche |si sceit bien tantost 	et erre tantquil li anuitie. |et lors escoute |si oit une cloche soner |et il seit bien 	tant que la nuyt uint. |Il ouyt une cloche sonner |si pense tantost 	tant quil si anuite. |Lors oy vne cloche sonner. |et sot bien tantost 	e va tanto |ch’elli anottò. |AIlora ascolta, |sì ode una campana sonare |ed e'sa ben tantosto 
328	que c’estoit hermitages: 	que vido muy espesa |quanto el cauallo lo pudo lleuar 	que cest hermitage. 	que cest hermitages 	que cest ung hermitage. 	que ce estoit vns hermitages. 	che ciò è romitaggio: 
329	si s’en torne cele part et descent a l’uis, 	e el ansi yendo oyo vna canpana tañer 	si se tourne celle part |et descent a luys si apelle. 	si se torne cele part et descent a luis et apele. 	il sen alla celle part |et puys frappa a luys/ 	si torne cele part. |et descent a luis et apele. 	si ritorna in quelle parti |e discende a l’uscio, 
330|331|332	si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere |et le desarme il meismes, 	e luego cuido quela tañian en alguna hermita |e el fue alla |e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir e acogiolo |porque vido que hera cauallero andante |e el mesmo lo ayudo a desarmar 	et lermite luy euure |et le recoit a belle chiere. 	et li ermites li ouure |et le resoit a mout bele chiere. |et le desarme il meismes 	et lermite le rechoit a belle chere |et le desarma 	Et hermites le rechoit a bele chiere. |et le desarme il meismes. 	si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera |e l disarmò elli medesimo; 
333|334	puis vet cueillir de l’erbe al cheval |et por fere lit al chevalier. 	e desque lo ovo desarmado |cogio dela yerua Parael cauallo 	Ainsi est demoure 	et puis ua cuillir de lerbe il meismes por le cheual. |et por faire lit au cheualier 	et puys cueillit de lerbe uerte |pour le cheual |et fist le lyt au cheualier. 	et puis vait coillir de lerbe pour le cheual |et fait le lit au cheualier, 	poscia va a cogliere dell’erba al cavallo lel per fare el letto del cavaliere. 
335|336|337|338	Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha |tant a qu’ele encontra cele de Honguefort; |si s’entresaluent, 	Ansi finco enla hermita |e la donçella de glaçedon andubo tanto |fastaque encontro ala señora de ongeforte |e ellas se saluaron 	Comme boot demoura chex lermite. |che tant quelle fu partie de son chastel |et quelle encontra celle boort chex lermite et la damoisele de glossedin cheuaude hunguefort. |si sentresaluent. 	Ainsi est boh̾ retrais chies lermite. |et la damoisele de glocdon cheuauche |quant ele fu partie de son chastel |tant que ele encontre la damoiselle de honguefort |si sentre saluent. 	Insi est boort demoure auec lermite et la damoiselle de glacedon |a tant alle quelle encentra celle de honguesfort/ si sentresalluerent. 	Nsi est remes bohoors chies le prodomme. |Et la damoisele de Glochedon tcheualche |tant que elle encontre cele de hongrefort. |si sentrefont moult grant ioie. 	ilnsi rimase Boordo a casa il romito, |e la damigella di Locidin cavalca tanto |ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte. |Si si trasalutano, 
339|340	mais molt se merveille cele de Glocedun, |quant ele voit sa cosine si atornee et tote sa maisnie: 	e la donzella De glazedon se marauillo mucho |quando vido asi venir asu parienta |e a todas su conpaña 	mais celle de glossedin se merueille moult |quant elle uoit sa cousine si atournee et toute sa mesgniee. 	mais mout ce merueille la damoisele de glocedun |quant ele voit sa cosine si atornee. |et tote sa mainiee ausi. 	Et quant celle de glacedon uoit sa cousine et toute sa mesgnie ainsi atournee 	Si sesmerueille moult cele de glochedon. |quant elle voit sa cousine ensi atornee et toute sa maisnie. 	ma molto si maraviglia quella di Glocedin |quand’ella vide sua cugina |si aconcia e tutta sua masnada, 
							si non si può tenere 
341|342|343	si li demande l’acheison et cele li conte de chief en chief |et dist |que jamés ne finera d’errer 	e preguntaronle la Razon |porque hera aquello asi 	si luy en demande lachoison. |et elle luy comta de chief en chief. |et dist |que iamais ne finera derrer |iucqua 	Si li a demande lacoison. |et cele len conte la uerite de chief en chief |et dit |que iamais ne finera derrer 	elle sen merueille monlt |sy lui demande lachoison |et celle luy compte toute la uerite |et dist |que iamaiz ne finera de errer iusques 	Si li demande locoison. |Et elle li conte lauenture de chief en chief |Et dist |que iamais ne finera desrer. 	ch’ella non la domandi la cagione. |E quella le conta di capo in capo |e dice che giamai non finirà d’andare 
344|345|346|347|348|349	jusqu’el ait le chevalier trové, « |et bien sachiés, |fet ele, |bele cosine, |que c’est li plus bials chevaliers et li mieldres |que je onques mes veisse, 	e la donzella de ongeforte |selo conto todo de cabo a cabo |Como le contesçio conel cauallero |e mi buena parienta bien sabed que el es el mas fermoso cauallero |que nunca vi 	tant quelle ait trouue le cheualier. |et bien sachez fait elle belle cousme |que cest le plus bel cheualier et le meilleur |que ie ueisse oncquez mais. 	tant que ele ait le cheualier troue. |et bien sachiez bele cosine |que cest li muxdres cheualiers et li plus biax dou monde. 	a tant quelle aura trouue le cheualier/ |et sachiez belle cousine |que cest le plus beau et le meilleur |que ie ueisse on 	deuant que elle aura troue le cheualier. |Car cest li plus biaus et li mieudres |que iou onques veisse. 	infino a tanto |ch’ella abbia il cavaliere trovato, |e ben sapiate, bella cugina, |che ciò è il più bel cavaliere e l miglior |ch’io unque vedessi, 
350	et si est encore jovenes enfés; 	e nunca quedare de andar |asi fasta quelo falle 	et si est encores ienne enfant. 	et si est encore iones enfes. 	ques et sy est encore ione enfant/ 	et si est iouenes enfes 	si è ancora giovane infante; 
351|352	si ai tel duel, |quant il me membre de la vilenie 	ca sabed que el es el mejor cauallero Del mundo 	si ay tel deul |quant il me menbre de la uilenie 	Si ai tel duel |quant ie mamenbre de la uilenie 	si ay tel deul |quant il me souuient de la uillanie 	Si ai tel doel |quant il me membre de la vilonnie 	sì ò tal duolo |qualunche ora mi ricordo della villania 
353|354	que je fis, |qu’a poi 	e mas cortes |e es muy niño 	que ie luy feis qua pou 	que ie li fis: 	que ie luy feiz |que a pou 	que iou li fis que a poi 	ch’io gli feci, 
355|356	que li cuers ne me part el ventre. |— 	e quando me mienbro dela descortesia e dela villania 	que le cuer ne me part ou uentre 	ca pou Li cuers ne me part. 	que le cueur ne me part du uentre. 	que li cuers ne me part del uentre. 	ch’a poco che l cuore non mi si sface nel ventre. 
357|358|359|360	En non Dieu, |bele cosine, |fet cele de Glocedun, |s’il vos avint bele aventure, 	que contrael fiz el corazon seme quiere quebrar enel cuerpo |Pardios mi buena parienta dixo la dueña de glozendo mucho vos a |acasesçido buena ventura 	Certes belle cousine fait celle de glocedin. |sil uous aduint belle auanture 	En non dieu bele cosine fait cele de glocedun. |Si uos auint bele auanture: 	Eu nom dieu belle cousine fait celle de glacedon/ |sy uous est aduenu belle auanture/ 	Enon dieu bele cousine fait cele de glochedon |sil vous est auenue bele |auenture 	— A nome di Dio, bella cugina, |s’elli voi avenne bella aventura, 
361	il ne m’est pas hui avenue mains bele. » 	e ami non a venido menor 	il ne mest pas huy aduenue belle. 	il ne mest pas hui auenue mains bele. 	il ne men est pas aduenue une moins belle. 	elle ne mest mie auenue mains bele. 	e' non m’è oggi passo avenuta men bellab. 
362|363|364|365	Si li conte tot |ensi com il li estoit avenu |et dist |qu’ele a le chevalier herbergié; « 	e luego le conto |como auia acaesçido conel Cauallero |que conella albergara 	Si luy compte tout |ainsi comme il luy est aduenu. |et dist quelle a herbrege le cheualier. 	Si li conte coument il li est auenu. |et dit |que ele a le cheualier herbregre. 	Sy luy compte tout ainsi |comment il luy estoit aduenu/ |et dist |quelle auoit herbegie le cheualier/ 	Si li conte |comment il li estoit auenu. |Et li dist |que elle auoit le cheualier herbergie 	i-lle contò tutto insi come l’era avenuto |e disse |ch’ella ha albergato il cavaliere, 
366|367|368	mais bien sachiés, |fet ele, |que c’est li plus bials chevaliers 	mas bien sabed |que es el mas fermoso cauallero 	Mais bien sachez fait elle |que cest le plus bel cheualier 	et bien sachiez |que cest li plus biax cheualiers 	et uous dys bien |que cest le plus beau cheualier du monde/ 	mais bien sachies |que cest li plus biaus cheualiers del monde. 	«ma ben sapiate |ch’egli è el più bel giovane 
369|370|371	que je onques mes veisse et jovenes durement » ; |si li devise sa façon et son grant et sa mesure |tant qu’a cele de Honguefort est avis 	Que Nunca vi e es muy mançebo |e luego le conto las façiones del tanto |quela dueña de ongeforte entendio 	que ie ueisse oncque mais et fort ienne. |si luy deuise sa facon sa grandeͬ et sa mesure tant quil est aduis a celle de hunguefort 	que ie onques ueisse. |et iosnes durement. |Si li deuisse sa fason et son grant et sa mesure. |Tant que a cele de honguefort est auis 	sy lui deuise sa facon |tant quil est aduiz a celle de honguesfort 	et iouenes est il durement. |Si li deuise sa fachon et son grant. |Tant que a celer de hongrefort samble 	ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo duramente». |Si-lle divisa sua fazione |e suo grande e sua misura tanto che a quella |d’Unquelforte est aviso 
372|373	que c’est cil |qu’ele quiert, 	que hera el cauallero |que ella andaua buscando 	qui cest cil quelle quiert. 	que ce est cil |que ele quiert. 	que cest celuy quelle quiert/ 	que che soit cils |que elle quiert. 	che ciò è quelli |ch’ella chiede, 
374|375	si li tarde molt |qu’ele le voie. 	e mucho sele tardaua delo ver 	si luy tarde moult |quelle ne le uoit. 	si li tarde mout quele le uoie. 	si luy tarde quelle le uoie 	Si li est moult tart que elle le voie. 	si'lle tarda molto |ch’ella il vega. 
376|377|378|379	Ensi chevalchent jusqu’al chastel, |si descendent la damoisele molt honorement |et molt font grant joie de li |Et lors sont montees el palés; 	asi fueron ental manera fablando |Que llegaron al castillo 	Ainsi cheuauchent tant quilz sont uenuz au chastel. |si descendent la damoisele moult honnoureement et moult font grant ioye de luy |Et lors sont montez ou palays. 	ainsi cheuauchent tant |que au chastel sont uenues. |Si dessandent la damoisele de honguesfort mout honorablement. |et mout font grant ioie de li. |et lors sont montees el palais amont.	En telle magniere cheuauchent |tant quilz sont uenues au chastel |si decendent la damoiselle monlt hounourablement |et font grant ioye de celle de honguesford. |lors sont mentees au pallaiz 	Si cheuauchent tant |que elles sont uenues au castel |et puis montent el palais. 	Insi cavalcano tanto |ch’al castello sono venuti, |si discendono la damigella molto honoratamente |e molto fanno grande gioia di lei. |Allor sono montate nel palagio, 
380|381|382|383|384|385	si demande cele de laiens ou ses ostes est. « |Par foi, |font si chevalier, |¡l s’en vet orrendroit tos armés |fors de cest chastel, |mais il nos dist 	e rresçibieron todos ala donçella de ongeforte muy honrradamente |e fizieron gran gozo conella |e la donçella del castillo pregunto luego porsu huesped 	si demande celle de leans ou est son hoste. |par foy font ces cheualiers |il sen uait orendroit tout arme hors de ce chastel. |mais il nous a dit 	Si demande cele de laiens ou ses ostes est. |par foi font cil cheualier il |sen ua maintenant tous armes fors de cest chastel. |mais il nous dit 	si demande la damoiselle de leans |ou est son hoste/ |deuray dirent les cheualiers de leans |Il sen ua orendroit tout seul arme hors de ce chastel |mes il nous dist 	Si denande la damoisele de laiens ou sez ostes estoit. |Par foy dame font li cheualier de laiens |il sen va orendroit tous armes hors de chest chastel. |mais il nous dist 	si domanda quella di Glocedin ove suo oste est: |Per fé, |dissono suo' cavalieri, |e' se ne va |oraindiritto tutto armato fuori di questo castello, |ma e' no disse 
386|387	qu’il revendroit tantost; |n’onques por nul pooir ne volt soffrir 	Por buena fee dixeron los caualleros 	quil renuiendra tantost. 	que il reuanroit tantost. |ne onques por nul pooir ne uost souffrir 	quil reuendroit |tantost/ |ne onques ne uolt souffrir 	quil reuendroit tantost. |ne onques pour nul pooir ne volt soffrir 	che ritornerebbe tantosto, |né unque per preghieri non volle soferire 
388|389|390|391|392|393|394|395|396|397|398|399|400	que nus de nos alast avec lui. |— |Quel part s’en ala il ? |fet ele. |— |Dame, |font il, vers cel boschel. |— |Or tost, |fet ele, |montés, |alés aprés lui, |si le nos ramenés. » 	que auian fincado conel tomo sus armas |e fuese a deportar a aquel montezillo |mas luego dixo |que se vernia |Mas nunca por alguna manera Podimos |que nos sufriese |que fuesemos conel a qual parte fue 	Quelle part est il alle fait la dame. |Dame font ilz uers ce boys. |Or montez tost fait elle allez apres|et le ramenez 	que nus alast auec lui. |que part sen ua il fait ele Dame |font il uers cest bochet. |Or tost montes illec apres |si le nous ramenez. 	que nul allast auec luy |si a prins sen chemin uers ce bochel. |Or tost dyt la dame montes |sy alles apprez luy |et le ramenes arriere. 	que nus alast aueques lui. |Et quel part ala il fait elle. |Dame font il vers chest bosket. |Or tost fait elle montes |si ales apres lui |si le me amenes arriere. 	che nullo di noi andasse con esso lui. |—elln quale parte se ne va?, diss’ella. |— Dama, dicono elli, |inverso quello bosco. |— |Or tosto, diss’ella, |montate e andate apresso lui, |si l noi rimenate» ll 
401|402|403|404|405|406|407	Lors sont monté li X. chevalier |et vienent jusqu’al boschel, |si le cerchent amont et aval, |mes del chevalier ne pueent riens trover, |si en sont molt irié et dolent |et mandent a lor dame |qu’il ne le pueent trover. « 	dixo la donçella del castillo |aquel montezillo dixeron ellos |e luego mando alos diez caualleros |quelo fuesen alla a buscar 	Lors sont montez tous les dix cheualiers |et uiennent au boys |si le sercherent amont et aual |mais le cheualier ne peuent ilz pas trouuer |si le mandent a leur dame |quilz ne le peuent trouuer 	Loes sont monte .x. cheualier. |et uiennent iuscau bochet |si le serchent amont et aual. |mais del cheualier ne pueent point trouer. 	Lors montent tous les cheualiers |et uiennent iusques au bochel |et le chercent ament et aual/ |mais ne le peuent trouuer/ 	LOrs sont monte tout li cheualier |et sont uenu au boskel |et cerkent amont aual |mais le cheualier |quil quierent ne poent trouuer. |Lors reuienent a lor dame |et li dient |que il ne seuent quil est deuenus. 	Allora sono montati tutti e dieci i cavalieri e vengono |Sin qua quel bosco, |si 'l cercano a monte e a valle, |ma del cavaliere non possono elli unque trovare. |eSi ne sono molto adirati e molto crucciati, |e mandano a-llor dama che nol possono trovare. 
408|409	En non Dieu, |fet ele, 	e ellos lo fiçieron 	En nom dieu fait elle 	En non dieu fait ele 	Eu nen dieu fait elle 	Enon dieu fait elle 	“h«A nome di Dio, diss’ella, 
410	ensi ne remandra il pas. » 	ansi 	anisi ne demeurra il pas. 	ainsi ne remandra il pas. 	il ne demoura pas |ainsy 	ensi ne remandra il mie 	insì non rimarrà e' passo». 
411|412	Si monte et tote sa maisnie |et commande a cerchier le bois de totes pars 	ca anduuieron todo el mon-teçillo arriba e ayuso 	si monte elle et toute sa mesgniee |et commande a sercher le boys de toutes pars 	si mente ele |et coure sa mainie |et comande a cenhier le bois de toutes pars. 	si monte elle et sa mesgnie |et commencent a chercer le bochel de toutes pars 	Si monte et toute sa maisnie aueques li. |si com menchent a cerkier le bois de toutes pars 	Si monta ella e tutta sua masnada, si vi viene e comanda a cercare il bosco di tutte parti. 
413	et il en font son commandement. 	Mas nunca lo pudieron fallar |e tornaron e contaronselo ansi asu señora 	et ilz font son commandement. 	Et il font son commandement. 	et prie aulx cheualiers quilz le chersacent 		sEd e fanno suo comandamento, 
414	Mais tot ce ne lor valt riens, 	Pordios dixo la donçella 	mais tout ce ne leur uault riens 	Mais tout ce ne lor uaut rien. 	mes ce ne leur ualust riens/ 	mais che ne lor valut riens 	ma tutto ciò no lle vale nulla, 
415	kar il n'em puent avoir nul asenement a, 	ni poresto no fincara |e luego Caualgo con toda su conpaña 	car ilz nen peuent ouyr nul assignement du monde. 	Car il ne pueent trouer nul a lanement dou monde 	car ilz nen porent ouyt nulle uraie enseigne. 	Car il nen pueent oir nulles enseignes vraies. 	ch’elli non ne possono ora avere nullo asennamento del mondo. 
416	Quant ele vit ce, 	e fuese Al montezillo |e fizolo çercar de todas partes 	Et quant elle uoit ce 	quant ele uoit ce: 	Quant elle uoit ce 	Et quant la damoisele voit chou. 	eE quand’ella vide ciò, 
417	si s’en retorne en son chastel dolente et corociee 	mas nunca lo pudieron fallar |e quando ella aquello vido tornose asu castillo muy triste e muy sañuda 	si sen retourne en son chastel doulente et couroucee 	si en retorne en son chastels 	si sen retoure en son chastel dollente et courroucee/ 	si sen retorne a son castel dolante et corouchie. 	si se ne torna in suo castello dolente e crucciata, 
418	et conte a cele de Honguefort 	e contolo ansi ala donzella de hongeforte 	Et compte a celle de hunguefort 	et conte a cele de honguefort 	et compte a celle de henguesford 	et conte a cele de hongrefort 	e conta a quella 
419|420|421	comment ses ostes s’en estoit alez, |puis demande a cels de laiens: « |Bials seignors, 	Como su huesped hera ydo |e la donzella les pregunto 	comment son hoste sen est alle |et puis demande a ceulx de leans beaux seigneurs 	comment ses ost en est alez. |et puis demande a ciax de laiens oiez signor 	comment son hoste sen est alle puys demande a ceulx de leans. |Beaux seigneurs 	comment sez ostes sen estoit partis de laiens |Puis demande a chiaus de laiens. |Biau seignor 	d’Unguelforte come suo oste se n’è andato. |Poscia domanda a que di là entro: |Be' signori, 
422|423|424|425|426|427|428|429|430|431	quant s’em parti il — |Par foi, |dame, |font il, |si tost com il vos en vit aler |et dist |qu’il revendroit tost. — |Par foi, |fet ele, |gabez nos a. » 	quando se fue |Pordios buena señora luego |que vos de aqui partistes |Mas dixonos |que luego venia |Por buena fee |dixo ella |bien nos a engañado 	quant party il. |par foy dame font ilz |si tost quil uous en uit aller |il dist |que il reuendroit tantost. |Certes fait elle uous uous gabez. 	quant sen ala il. |Par foi dame |si tost com il uous en uit aler. |et dit quil reuandroit tost par foi signor gabe nos A. 	quant sen parti il/ par ma foy |si tost que uous feustes partie/ |et dist quil reuendroit tantost. |par ma foy dist la dame |il nous a gabes. 	et quant se parti il de chaiens. |Dame ce dient cil |si tost |comme se il vous en vit aler. |et dist quil reuenroit tantost. |par foy fait elle gabe nous a . 	e quando se ne parti |elli?-Per fé, dama, dicono elli, |si tosto come ve ne vide andare, |e disse che riverebbe tosto. |— Per fé, diss’ella, |il vorre giàb. 
432|433|434|435|436|437	Lors demanda cele de Honguefort |quels armes il portoit |et ele li devise. « |En non Dieu, |fet ele, |je te trovai hui matin a l’entree d’une forest, 	Que armas traia dixo la donçella de hongeforte |e la donçella selas deuiso |Pordios dixo ella |yo lo falle oy demañana envna floresta 	Lors demande celle de hunguefort |quelz armes il portoit. |et elle luy deuise. |Certes fait elle |ie le trouuae huy matin a lentree dune fourest, 	Et lors demanda cele de honguefort|ques armes il a et cele li deuise. |En non dieu fait |Se ioe lencontrai hui matin a lantree dune forest 	Lors demande celle de honguesford |quelles armes il portoit |et elle luy deuise. |Eu nom dieu fait elle |ie le trouuay huy matin a lentree de une forest/ 	ors demande cele de hongrefort |queles armes il portoit. |Et elle li deuise Enon dieu |fait elle iou le trouuai hui matin a lentree dune forest. 	sAllor domanda quella d'Unguelforte che arme elli portava, |e la damigella gliel divisa. |“Al nome di Dio, diss’ella, |io il trovai ogi mattino |all’entrata d’una foresta, 
438|439|440|441	mes il ne portoit mie tel escu |com cil que je quier. — |Bele cosine, |fet cele de laiens, 	mas no traia el tales armas |Como aquel que yo ando buscando |Buena Parienta dixo la donçella del castillo 	mais il ne portoit pas tel escu |comme cil |que ie quier Belle cousine fait celle de leans 	mais il ne portoit mie tel escu. |comme cil que ie quier bele cousine fait cele de |Iaiens 	mes il ne portoit mye telles armes come celuy |que ie quiers/ belle cousine fait celle de leans 	mais il ne portoit mie tels armes |comme cils |que iou quier Bele cousine fait cele as de laiens. 	ma e' non porta mica tale scudo come colui |ch’io cheggio. |—eBella cugina, |disse quella di là entro, 
442	il le puet bien avoir changié 	el las puede auer bien trocado 	il le puet bien auoir despuis change. 	il le puet bien auoir changie puis 	il les peult bien auoir changiez 	il lez puet bien auoir cangies. 	elli il potrebbe |poscia bene avere cambiato, 
443	et je vos di al mien cuidier 	e yo vos digo ami cuidar 	et ie cuide bien a mon cuider 	et ie uos di au mien cuidier 	et ie cuide bien a mon aduiz 	Et iou quit bien a mon escient 	e vo dico al mio credere 
444|445|446|447	que ce est cil |que vos querez : |si vos prie |que vos me laissiés o vos aler 	Que este es el que bos buscades |e Ruego vos que me dexedes convos yr fasta 	que cest cil que uous querez. |si uous pry |que me lessez aller o uous 	que cest ciz |que uus querez. |Si uous pri |que uous me laissiez a uos Aler 	que cest celuy |que uous queres sy uous prie |que me lessiez aller auecques uous 	que che soit cil que vous queres |Si vous pri |que vous me laissies aler aueques vous 	che ciò est quelli cu' voi chiedete. |Si vi priego |che voi mi lasciate con voi andare 
448	tant que trové l’aions 	Quelo fallemos 	tant que nous layons trouue. 	tant que troue laions 	tant que laurens trouue. 	tant que nous laions trouue. 	tanto che trovato l’abiate, 
449|450|451|452|453	et lors savrai l’acheison |por quoi il laissa mon ostel a tel ore. |— |Il m’est molt bel, |fet cele de Honguefort, 	e sepa la rrazon |Porque se fue demi castillo ental manera |Mucho me Plaze dixo la donzella de ongeforte 	Et lors scauray lachoison |pour quoy il a lesse mon houstel a telle heure |Il mest moult bel fait celle de hunguefort 	et lors saurai locoson |por coi il a laisier mon ostel a tel eure. |il met mout bel fait cele de hongefort. 	Il mest monlt bel dyt celle de honguesfort |que uous uiengnies auec moy 	Et lors si nous dira locoison |pourcoi il a laissie mon ostel en tel maniere. |Il men est bel fait cele de hongrefort 	allora saprò io la cagione per |ch’egli à mio ostello lasciato a tale ora. |— E' me n’è molto bello, |disse quella d’Unguelforte, 
454|455	que vos i viegniés, |puis qu’il vos plest. » 	Que vengades |Pues vos plaze 	que uous y uieguez |quant il uous plaist. 	que uous i uangnerez de que il uos plait. 	puis quil uous plaist. 	que vous y ueignies |puis quil vous plaist. 	che vo' vegniate, |da che vo piace». 
456	Ensi remistrent la nuit laiens et al matin. 	ansi fincaron toda aquella noche enla mañana tanto 	Ainsi demeurent la nuyt leans. |Et au matin 	Ainsi remesent laiens la nuit. |et au matin 	ainsi demeurent la nuyt leans. |et au matin 	Ensi remestrent cele nuit laiens. |et lendemain 	lnsi rimasono la notte là entro, |e al mattino, 
457	si tost com eles ! virent le jor, 	Como fue de dia se leuantaron 	si tost quelles uirent le iour se leuerent 	si tost comme eles uirent le ior: 	quant ilz uirent le iour 	quant il virent le ior sen alerent 	si tosto com'elle vidono il giorno, 
458	si leverent et se partirent del chastel 	e fueronse del castillo 	et se partirent du chastel. 	se leuerent et se partirent del chastel. 	si sen partirent du chastel 	et partirent del castel. 	si levarono e si partirono dal castello, 
459	et entrerent en la queste de lor chevalier. 	enla demanda del buen cauallero 	si entrent en la queste de leur cheualier. 	Si entrent en la quese de lor cheualier 	et entrerent en la queste de leur cheualier. 	et entrerent en la queste del cheualier 	si entrarono nella chesta del loro cavaliere. 
460|461	Mais or laisse atant li contes |a parler d’eles et de Boort	Agora dexa el cuento |de fablar dellas e de boores 	Mais or laisse le compte a parler deulx et de boort. 	mais or laisse li contes a parler atant deles et de behort. 	Or lessons maintenant le compte de boors et des deux dames 	Mais ore laisse li contes a parler daus et de bohort 	Ma or lascia il conto atanto a parlare di loro e di Boordo 
462	et retorne a parler de Lancelot 	e torna A Lançarote 	et retourne a parler de lancelot 	et retorne a parler de lancͣ. 	et retourons a parler de lancelot du lac 	et retorne a parler de lancelot del lac. 	e ritorna a parlare di Lancellotto, 
463	la ou il est entrez en la forest de Sarpenic, 	Que entro enla floresta Serpentina 	quant il entra en la fourest de sarponie 	la ou il est entrer en la forest de sarpenic 	le quel est entre en la forest de la sapine. 	si comme il entra en la forest de la sapine 	là ov’elli est entrato nella foresta di Sapernic, 
			sicomme le compte a deuise. 				
464	si com li contes a devise ariers. 	Asi como el cuento lo a deuisado 	Cy fine le comte. |Et parle de lancelot du lac. 		Comment lancelot emporta le corps de gallehaut |que plusieurs cheualiers gardoient: 	si comme li contes a deuise. 	si come il conto à divisato. 
465|466|467|468	Or dist li contes |qu’il fist grant chaut |le jor |que Lancelos entra en la forest de Sarpenic 	Dize el cuento |que gran calentura façia el dia |que lançarote entro enla floresta 	Or dit le conte |quil faisoit grant chault le iour |que lancelot entra en la fourest de serpeme. 	GRant chaut cedit li contes fist le ior |que lanc̃. entra en la foret de sarpenic. 	et comment il rescouist la seur de meleagant |que len uouloit ardre iiii.xx. xiiii. |Grant chault fist dit le compie le iour |que lancelot fut entre en la sapinoie 	Ne dist li contes |que trop grant chaut fist celui ior |que lancelot fu entres en la forest de la sapine 	Gran caldo, |ciò dice il conto, |fece il giorno che Lancellotto entrò nella foresta di Sarpenic, 
469|470|471|472|473|474|475|476|477	et por ce ne remest il mie |qu’il ne chevalchast jusqu’à none; |si li avint |ensi qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, |si com il dut issir de forest |qui tot le jor li ot duré, |encontra une damoisele |qui molt faisoit grant duel 	mas poreso no finco que el no andubiese todo el dia fasta nona |que no encontro ome ni muger |mas a hora de visperas sin falta |quando queria salir dela floresta |que todo el dia le auia durado encontro vna donzella |que mucho façia gran duelo 	et pour ce ne demoura il pas |quil ne cheuauchast iucqua nonne. |Si luy aduint quil nencontra homme ne femme iucqua uespres. |mais lors quil deut yssir de la fourest |qui tout le iour luy auoit dure |il encontra une damoisele |qui moult faisoit grant deul 	et por ce ne remest il pas |que lanc̃ ne cheuanchast iusques a none. |Si auint quil nancontra home ne fame iuscau uespre. |mais lors sans faille |Si comme il dut issir de la forest |qui tote ior li ot dure |Si encontra une damoisele |qui mout faissoit grant duel. 	et pour ce ne demoura il pas |quil ne cheuauchast iusques a uespres |sans rencentrer homme ne femme. |Sicomme il deust issir dela forest |il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy. 	Et por chou ne remest il mie |quil ne cheualchast iusques a nonne |Si li auint |ensi quil nencontra ne homme ne femme iusques a uespres. |Mais lors sans faille |si comme il dut issir de la forest |si encontra vne damoisele |qui moult faisoit grant doel. 	e per ciò e' non rimase passo |che non cavalcasse infin qua a nona, |si gli avenne insi che non incontrò huomo né femina insino a vespero. |?Ma allora sanza fallo, |si come dovea uscire della foresta |che tutto giorno gli avea durata, |si incontrò elli una damigella |che molto facea gran duolo, 
